subject,age_group,age,run,n_pairs,auc,accuracy,precision_within,recall_within,f1_within,tn,fp,fn,tp
temple056,adult,18.46575342,1,66,0.8256172839506173,0.8484848484848485,0.5714285714285714,0.6666666666666666,0.6153846153846153,48,6,4,8
temple056,adult,18.46575342,2,66,0.7916666666666667,0.7424242424242424,0.38095238095238093,0.6666666666666666,0.4848484848484849,41,13,4,8
temple056,adult,18.46575342,3,66,0.8009259259259259,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple056,adult,18.46575342,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple057,adult,20.61369863,1,66,0.6574074074074074,0.696969696969697,0.21428571428571427,0.25,0.23076923076923075,43,11,9,3
temple057,adult,20.61369863,2,66,0.6280864197530864,0.696969696969697,0.21428571428571427,0.25,0.23076923076923075,43,11,9,3
temple057,adult,20.61369863,3,66,0.6851851851851851,0.696969696969697,0.3181818181818182,0.5833333333333334,0.4117647058823529,39,15,5,7
temple057,adult,20.61369863,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple058,adult,21.49041096,1,66,0.8410493827160493,0.7878787878787878,0.4375,0.5833333333333334,0.5,45,9,5,7
temple058,adult,21.49041096,2,66,0.6111111111111112,0.6818181818181818,0.15384615384615385,0.16666666666666666,0.16,43,11,10,2
temple058,adult,21.49041096,3,66,0.6820987654320987,0.6363636363636364,0.2,0.3333333333333333,0.25,38,16,8,4
temple058,adult,21.49041096,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple059,adult,20.25753425,1,66,0.8549382716049383,0.8181818181818182,0.5,0.5,0.5,48,6,6,6
temple059,adult,20.25753425,2,66,0.7469135802469136,0.7424242424242424,0.38095238095238093,0.6666666666666666,0.4848484848484849,41,13,4,8
temple059,adult,20.25753425,3,66,0.6604938271604939,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple059,adult,20.25753425,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple071,adult,27.30684932,1,66,0.808641975308642,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple071,adult,27.30684932,2,66,0.6234567901234569,0.6363636363636364,0.22727272727272727,0.4166666666666667,0.29411764705882354,37,17,7,5
temple071,adult,27.30684932,3,66,0.7839506172839507,0.803030303030303,0.45454545454545453,0.4166666666666667,0.43478260869565216,48,6,7,5
temple071,adult,27.30684932,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple072,adult,19.53150685,1,66,0.6080246913580247,0.6818181818181818,0.23529411764705882,0.3333333333333333,0.27586206896551724,41,13,8,4
temple072,adult,19.53150685,2,66,0.6929012345679013,0.7121212121212122,0.26666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4
temple072,adult,19.53150685,3,66,0.7083333333333333,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple072,adult,19.53150685,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple073,adult,32.16712329,1,66,0.5447530864197531,0.6363636363636364,0.2,0.3333333333333333,0.25,38,16,8,4
temple073,adult,32.16712329,2,66,0.6342592592592592,0.7424242424242424,0.3333333333333333,0.4166666666666667,0.3703703703703704,44,10,7,5
temple073,adult,32.16712329,3,66,0.5848765432098766,0.6818181818181818,0.23529411764705882,0.3333333333333333,0.27586206896551724,41,13,8,4
temple073,adult,32.16712329,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple074,adult,20.21369863,1,66,0.6851851851851852,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple074,adult,20.21369863,2,66,0.6975308641975309,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple074,adult,20.21369863,3,66,0.6929012345679012,0.7424242424242424,0.38095238095238093,0.6666666666666666,0.4848484848484849,41,13,4,8
temple074,adult,20.21369863,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple075,adult,20.36712329,1,66,0.8533950617283951,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple075,adult,20.36712329,2,66,0.6959876543209876,0.7878787878787878,0.4166666666666667,0.4166666666666667,0.4166666666666667,47,7,7,5
temple075,adult,20.36712329,3,66,0.8256172839506172,0.8181818181818182,0.5,0.8333333333333334,0.625,44,10,2,10
temple075,adult,20.36712329,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple076,adult,21.24931507,1,66,0.5108024691358025,0.5757575757575758,0.16666666666666666,0.3333333333333333,0.2222222222222222,34,20,8,4
temple076,adult,21.24931507,2,66,0.8518518518518519,0.8787878787878788,0.6428571428571429,0.75,0.6923076923076924,49,5,3,9
temple076,adult,21.24931507,3,66,0.6358024691358024,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple076,adult,21.24931507,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple087,adult,23.23013699,1,66,0.5941358024691359,0.7272727272727273,0.2857142857142857,0.3333333333333333,0.30769230769230765,44,10,8,4
temple087,adult,23.23013699,2,66,0.5308641975308641,0.6515151515151515,0.21052631578947367,0.3333333333333333,0.2580645161290323,39,15,8,4
temple087,adult,23.23013699,3,66,0.7484567901234568,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple087,adult,23.23013699,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple088,adult,21.84657534,1,66,0.6712962962962964,0.7575757575757576,0.375,0.5,0.42857142857142855,44,10,6,6
temple088,adult,21.84657534,2,66,0.6111111111111112,0.696969696969697,0.3,0.5,0.37499999999999994,40,14,6,6
temple088,adult,21.84657534,3,66,0.5833333333333333,0.6818181818181818,0.23529411764705882,0.3333333333333333,0.27586206896551724,41,13,8,4
temple088,adult,21.84657534,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple089,adult,19.3369863,1,66,0.7993827160493827,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple089,adult,19.3369863,2,66,0.8132716049382716,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple089,adult,19.3369863,3,66,0.7608024691358024,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple089,adult,19.3369863,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple099,adult,19.88493151,1,66,0.6219135802469136,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple099,adult,19.88493151,2,66,0.6790123456790124,0.696969696969697,0.3181818181818182,0.5833333333333334,0.4117647058823529,39,15,5,7
temple099,adult,19.88493151,3,66,0.6867283950617283,0.7121212121212122,0.3157894736842105,0.5,0.3870967741935484,41,13,6,6
temple099,adult,19.88493151,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple105,adult,18.55890411,1,66,0.6219135802469136,0.7878787878787878,0.4,0.3333333333333333,0.3636363636363636,48,6,8,4
temple105,adult,18.55890411,2,66,0.7623456790123457,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple105,adult,18.55890411,3,66,0.712962962962963,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple105,adult,18.55890411,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple106,adult,20.19178082,1,66,0.6064814814814814,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple106,adult,20.19178082,2,66,0.7098765432098766,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple106,adult,20.19178082,3,66,0.6095679012345679,0.696969696969697,0.3,0.5,0.37499999999999994,40,14,6,6
temple106,adult,20.19178082,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple108,adult,18.93150685,1,66,0.7638888888888888,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple108,adult,18.93150685,2,66,0.5385802469135803,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,40,14,8,4
temple108,adult,18.93150685,3,66,0.6728395061728396,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple108,adult,18.93150685,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple119,adult,22.16438356,1,66,0.6080246913580247,0.7121212121212122,0.26666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4
temple119,adult,22.16438356,2,66,0.6959876543209876,0.7575757575757576,0.3888888888888889,0.5833333333333334,0.4666666666666666,43,11,5,7
temple119,adult,22.16438356,3,66,0.8117283950617283,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple119,adult,22.16438356,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple120,adult,20.65479452,1,66,0.8009259259259259,0.7878787878787878,0.4375,0.5833333333333334,0.5,45,9,5,7
temple120,adult,20.65479452,2,66,0.6296296296296297,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple120,adult,20.65479452,3,66,0.6280864197530864,0.6818181818181818,0.2,0.25,0.22222222222222224,42,12,9,3
temple120,adult,20.65479452,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple123,adult,19.30136986,1,66,0.6033950617283951,0.6515151515151515,0.23809523809523808,0.4166666666666667,0.30303030303030304,38,16,7,5
temple123,adult,19.30136986,2,66,0.79320987654321,0.803030303030303,0.47368421052631576,0.75,0.5806451612903226,44,10,3,9
temple123,adult,19.30136986,3,66,0.7006172839506173,0.7878787878787878,0.4,0.3333333333333333,0.3636363636363636,48,6,8,4
temple123,adult,19.30136986,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple124,adult,20.35068493,1,66,0.6697530864197531,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple124,adult,20.35068493,2,66,0.75,0.7727272727272727,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7
temple124,adult,20.35068493,3,66,0.7561728395061729,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple124,adult,20.35068493,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple060,child,10.06575342,1,66,0.6867283950617284,0.7878787878787878,0.4,0.3333333333333333,0.3636363636363636,48,6,8,4
temple060,child,10.06575342,2,66,0.6697530864197531,0.6818181818181818,0.2631578947368421,0.4166666666666667,0.3225806451612903,40,14,7,5
temple060,child,10.06575342,3,66,0.7175925925925926,0.7121212121212122,0.34782608695652173,0.6666666666666666,0.4571428571428571,39,15,4,8
temple060,child,10.06575342,4,66,0.6373456790123457,0.6363636363636364,0.25,0.5,0.3333333333333333,36,18,6,6
temple061,child,11.28767123,1,66,0.5833333333333333,0.6363636363636364,0.2,0.3333333333333333,0.25,38,16,8,4
temple061,child,11.28767123,2,66,0.6620370370370371,0.5909090909090909,0.2413793103448276,0.5833333333333334,0.34146341463414637,32,22,5,7
temple061,child,11.28767123,3,66,0.7361111111111112,0.7424242424242424,0.35294117647058826,0.5,0.41379310344827586,43,11,6,6
temple061,child,11.28767123,4,66,0.816358024691358,0.8333333333333334,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8
temple063,child,10.72054795,1,66,0.7006172839506173,0.696969696969697,0.3181818181818182,0.5833333333333334,0.4117647058823529,39,15,5,7
temple063,child,10.72054795,2,66,0.7638888888888888,0.8181818181818182,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8
temple063,child,10.72054795,3,66,0.7160493827160495,0.696969696969697,0.3333333333333333,0.6666666666666666,0.4444444444444444,38,16,4,8
temple063,child,10.72054795,4,66,0.8271604938271606,0.8181818181818182,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8
temple064,child,7.361643836,1,66,0.5200617283950617,0.6363636363636364,0.2,0.3333333333333333,0.25,38,16,8,4
temple064,child,7.361643836,2,66,0.654320987654321,0.6818181818181818,0.2857142857142857,0.5,0.36363636363636365,39,15,6,6
temple064,child,7.361643836,3,66,0.7438271604938271,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple064,child,7.361643836,4,66,0.6774691358024691,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple065,child,9.452054795,1,66,0.839506172839506,0.803030303030303,0.47058823529411764,0.6666666666666666,0.5517241379310345,45,9,4,8
temple065,child,9.452054795,2,66,0.8580246913580246,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple065,child,9.452054795,3,66,0.7638888888888888,0.7878787878787878,0.4444444444444444,0.6666666666666666,0.5333333333333333,44,10,4,8
temple065,child,9.452054795,4,66,0.603395061728395,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple066,child,9.97260274,1,66,0.7175925925925926,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple066,child,9.97260274,2,66,0.7669753086419753,0.7727272727272727,0.42105263157894735,0.6666666666666666,0.5161290322580646,43,11,4,8
temple066,child,9.97260274,3,66,0.8194444444444444,0.7727272727272727,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7
temple066,child,9.97260274,4,66,0.5617283950617284,0.7424242424242424,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4
temple068,child,9.764383562,1,66,0.6820987654320988,0.6515151515151515,0.23809523809523808,0.4166666666666667,0.30303030303030304,38,16,7,5
temple068,child,9.764383562,2,66,0.6805555555555556,0.696969696969697,0.3,0.5,0.37499999999999994,40,14,6,6
temple068,child,9.764383562,3,66,0.7175925925925926,0.7121212121212122,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5
temple068,child,9.764383562,4,66,0.7993827160493827,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple069,child,9.673972603,1,66,0.6651234567901234,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple069,child,9.673972603,2,66,0.5895061728395062,0.6818181818181818,0.2631578947368421,0.4166666666666667,0.3225806451612903,40,14,7,5
temple069,child,9.673972603,3,66,0.7685185185185185,0.7424242424242424,0.3684210526315789,0.5833333333333334,0.4516129032258065,42,12,5,7
temple069,child,9.673972603,4,66,0.6450617283950618,0.7727272727272727,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7
temple070,child,7.473972603,1,66,0.5787037037037036,0.5909090909090909,0.2,0.4166666666666667,0.2702702702702703,34,20,7,5
temple070,child,7.473972603,2,66,0.5,0.6363636363636364,0.16666666666666666,0.25,0.2,39,15,9,3
temple070,child,7.473972603,3,66,0.7222222222222222,0.696969696969697,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5
temple070,child,7.473972603,4,66,0.5833333333333334,0.696969696969697,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5
temple079,child,10.7890411,1,66,0.6851851851851852,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple079,child,10.7890411,2,66,0.6682098765432098,0.7575757575757576,0.375,0.5,0.42857142857142855,44,10,6,6
temple079,child,10.7890411,3,66,0.5185185185185185,0.6515151515151515,0.21052631578947367,0.3333333333333333,0.2580645161290323,39,15,8,4
temple079,child,10.7890411,4,66,0.6450617283950617,0.7121212121212122,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5
temple082,child,11.36712329,1,66,0.4922839506172839,0.6212121212121212,0.15789473684210525,0.25,0.1935483870967742,38,16,9,3
temple082,child,11.36712329,2,66,0.6635802469135803,0.5757575757575758,0.25,0.6666666666666666,0.36363636363636365,30,24,4,8
temple082,child,11.36712329,3,66,0.8796296296296295,0.8636363636363636,0.5882352941176471,0.8333333333333334,0.6896551724137931,47,7,2,10
temple082,child,11.36712329,4,66,0.6867283950617284,0.6818181818181818,0.23529411764705882,0.3333333333333333,0.27586206896551724,41,13,8,4
temple083,child,12.88767123,1,66,0.6820987654320987,0.7424242424242424,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4
temple083,child,12.88767123,2,66,0.7098765432098766,0.7424242424242424,0.38095238095238093,0.6666666666666666,0.4848484848484849,41,13,4,8
temple083,child,12.88767123,3,66,0.5555555555555556,0.7121212121212122,0.23076923076923078,0.25,0.24000000000000002,44,10,9,3
temple083,child,12.88767123,4,66,0.6944444444444445,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple084,child,8.769863014,1,66,0.5756172839506173,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,40,14,8,4
temple084,child,8.769863014,2,66,0.7376543209876543,0.7575757575757576,0.375,0.5,0.42857142857142855,44,10,6,6
temple084,child,8.769863014,3,66,0.5432098765432098,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple084,child,8.769863014,4,66,0.691358024691358,0.5757575757575758,0.23333333333333334,0.5833333333333334,0.33333333333333337,31,23,5,7
